TrainCode,TrainDate,TrainOrigin,TrainDestination,scheduled_hour,scheduled_minute,day_of_week,arrival_delay_minutes
P744,06 Apr 2025,Maynooth,Dublin Connolly,15,54,6,-1.4
D913,06 Apr 2025,Dublin Connolly,Maynooth,0,0,6,892.6
P746,05 Apr 2025,Maynooth,Dublin Connolly,10,22,5,-1.3
A606,05 Apr 2025,Dublin Connolly,Rosslare Europort,0,0,5,834.2
A910,05 Apr 2025,Dublin Connolly,Sligo,0,0,5,900.4
P745,05 Apr 2025,Maynooth,Dublin Connolly,9,55,5,-0.3
A909,05 Apr 2025,Sligo,Dublin Connolly,16,11,5,4.5
D914,05 Apr 2025,Dublin Connolly,Maynooth,0,0,5,755.1
A908,05 Apr 2025,Dublin Connolly,Sligo,0,0,5,865.8
A911,05 Apr 2025,Sligo,Dublin Connolly,18,18,5,6.6
A906,05 Apr 2025,Dublin Connolly,Sligo,0,0,5,735.6
P744,05 Apr 2025,Maynooth,Dublin Connolly,9,32,5,-2.3
D913,05 Apr 2025,Dublin Connolly,Maynooth,0,0,5,713.1
P746,04 Apr 2025,Maynooth,Dublin Connolly,10,53,4,3.4
A606,04 Apr 2025,Dublin Connolly,Rosslare Europort,0,0,4,807.9
E259,04 Apr 2025,Malahide,Bray,21,29,4,-0.4
E260,04 Apr 2025,Malahide,Bray,21,59,4,-1.0
A910,04 Apr 2025,Dublin Connolly,Sligo,0,0,4,959.4
P745,04 Apr 2025,Maynooth,Dublin Connolly,9,24,4,-1.7
A909,04 Apr 2025,Sligo,Dublin Connolly,16,27,4,0.6
D914,04 Apr 2025,Dublin Connolly,Maynooth,0,0,4,713.4
A908,04 Apr 2025,Dublin Connolly,Sligo,0,0,4,861.1
A911,04 Apr 2025,Sligo,Dublin Connolly,18,18,4,3.8
A906,04 Apr 2025,Dublin Connolly,Sligo,0,0,4,775.8
P744,04 Apr 2025,Maynooth,Dublin Connolly,8,33,4,-2.3
